Report_Month,Response_Type,MM-YY,Avg_Response_Time,Response_Time_MMSS,Median_Response_Time,Min_Response_Time,Max_Response_Time,Count
2026-02,Emergency,02-26,2.949,2:57,2.45,0.017,9.95,273
2026-02,Routine,02-26,2.61,2:37,1.783,0.017,9.983,858
2026-02,Urgent,02-26,2.673,2:40,2.033,0.017,9.833,903
