charge_category,Count of Case Number,Sex
All Other Offenses,19,M
Simple Assault,10,M
Larceny/Theft,4,F
Aggravated Assault,3,M
Driving Under Influence,3,M
Fraud,3,M
Larceny/Theft,3,M
Aggravated Assault,2,F
All Other Offenses,2,F
Criminal Mischief,2,M
Criminal Mischief,1,F
Disorderly Conduct,1,M
Drug/Controlled Substance,1,F
Drug/Controlled Substance,1,M
Simple Assault,1,F
Theft/Property,1,M
Weapons,1,M
