Arrestee's Residence Category,Sex,Count of Total July Arrests
In County,F,1
In County,M,7
Local,F,10
Local,M,31
"Out of County, In State",M,3
Out of State | FL,M,1
Out of State | MA,M,1
Out of State | NY,M,3
Out of State | VA,M,1
