Officer,Summons Count ,WG2,TYPE
M. ONEILL #0327,309,Unknown,Unknown
K. TORRES #2027,302,Unknown,Unknown
D. MATTALIAN #0717,279,Unknown,Unknown
J. SQUILLACE #1711,238,Unknown,Unknown
D. RIZZI #2030,216,Unknown,Unknown
